code,name,description
0,PAM_SUCCESS,Successful function return
6,PAM_PERM_DENIED,Permission denied
7,PAM_AUTH_ERR,Authentication failure (wrong password)
8,PAM_CRED_INSUFFICIENT,Caller does not have credentials to authenticate the user
9,PAM_AUTHINFO_UNAVAIL,Authentication service could not retrieve authentication information (e.g. LDAP/network down)
10,PAM_USER_UNKNOWN,User not known to the underlying authentication module
11,PAM_MAXTRIES,"Retry limit reached (module-specific, e.g. faillock)"
12,PAM_NEW_AUTHTOK_REQD,New authentication token (password) required — the old one has expired
13,PAM_ACCT_EXPIRED,User account has expired
14,PAM_SESSION_ERR,Cannot make/remove an entry for the specified session
15,PAM_CRED_UNAVAIL,Underlying authentication service cannot retrieve user credentials
16,PAM_CRED_EXPIRED,User credentials have expired
17,PAM_CRED_ERR,Failure setting user credentials
20,PAM_AUTHTOK_ERR,Authentication token manipulation error
21,PAM_AUTHTOK_RECOVERY_ERR,Old authentication token could not be recovered
22,PAM_AUTHTOK_LOCK_BUSY,Authentication token lock busy
23,PAM_AUTHTOK_DISABLE_AGING,Authentication token aging disabled
24,PAM_TRY_AGAIN,Preliminary check by password service failed
25,PAM_IGNORE,Ignore underlying account module regardless of whether it succeeded or failed
26,PAM_ABORT,"Critical error, module fails, application should abort use of this service"
27,PAM_AUTHTOK_EXPIRED,User's authentication token has expired
31,PAM_INCOMPLETE,Module needs the application to call it again to complete authentication
