rule_id,category_no,category,title,fapolicyd_rule,description,disa_stig_ref,acsc_ism_alignment,switches_explained
10-languages,10,Language set definition,Define the %languages set,"%languages=application/x-bytecode.ocaml,application/x-bytecode.python,application/java-archive,text/x-java,application/x-java-applet,application/javascript,text/javascript,text/x-awk,text/x-gawk,text/x-lisp,application/x-elc,text/x-lua,text/x-m4,text/x-nftables,text/x-perl,text/x-php,text/x-script.python,text/x-python,text/x-R,text/x-ruby,text/x-script.guile,text/x-tcl,text/x-luatex,text/x-systemtap","Defines the %languages set — every MIME type fapolicyd recognises as script or bytecode content for an interpreted language. This is a set definition, not a decision rule; it's referenced by 70-trusted-lang.rules and 91-deny-lang.rules further down the evaluation order.",,,"[{""token"":""%languages="",""explanation"":""Set definition. Set names start with %; the value is a comma-separated list. Type (string here) is inherited from the first item. Sets can be used as values for most subject/object attributes, but not for trust or pattern.""}]"
20-dracut,20,Dracut (initramfs),Exception for dracut's initramfs building,"allow perm=any uid=0 : dir=/var/tmp/
allow perm=any uid=0 trust=1 : all","Carves out an exception for dracut's initramfs building, which as root needs to freely read/write/execute in /var/tmp/ while assembling the initramfs.",,,"[{""token"":""uid=0"",""explanation"":""Subject attribute: only the root user's processes match this rule.""},{""token"":""dir=/var/tmp/"",""explanation"":""Object attribute: any file under this directory.""},{""token"":""trust=1"",""explanation"":""Object attribute: file must be in the trust database (second line only \u2014 applies once dracut is done writing to /var/tmp and needs to run trusted content).""}]"
21-updaters,21,System updaters,Exception for rpm/dnf,"allow perm=open exe=/usr/bin/rpm : all
allow perm=open exe=%python3_path% comm=dnf : all","""We have to carve out an exception for the system updaters or things go very bad (deadlock)"" — rpm and dnf need to freely open files (including ones not yet in the trust database) while installing/updating packages, since they are themselves what populates that database.",,,"[{""token"":""exe=/usr/bin/rpm"",""explanation"":""Subject attribute: the process's executable must be exactly this path.""},{""token"":""exe=%python3_path%"",""explanation"":""Subject attribute: matches a set (%python3_path%) rather than a literal path, since dnf is a Python program and its interpreter's path varies by system.""},{""token"":""comm=dnf"",""explanation"":""Subject attribute: combined with exe= to narrow the exception to dnf specifically, not every Python process.""}]"
22-buildroot,22,Build roots (mock),Exception for software builders,"allow perm=any uid=mock : dir=/home/mock/rpmbuild
allow perm=any uid=mock trust=1 : all","Software builders create lots of untrusted files that fapolicyd has never seen before; the mock account is trusted to create and access anything inside its own buildroot (itself protected by file permissions and wiped after each build), and otherwise restricted to trusted content everywhere else.",,,"[{""token"":""uid=mock"",""explanation"":""Subject attribute: only processes running as the mock account match.""},{""token"":""dir=/home/mock/rpmbuild"",""explanation"":""Object attribute: unrestricted access inside the buildroot specifically.""},{""token"":""trust=1"",""explanation"":""Object attribute (second line): outside the buildroot, mock is still held to the normal trust requirement like any other account.""}]"
30-patterns,30,Access patterns,Deny ld.so-mediated access (pattern rules),"deny_audit perm=any pattern=ld_so : all
#deny_audit perm=any pattern=ld_preload : all
#deny_audit perm=any pattern=static : all","Only the ld_so pattern is enabled by default; ld_preload and static pattern denial are shipped but commented out, left for an administrator to enable if needed.",,,"[{""token"":""pattern=ld_so"",""explanation"":""Subject attribute: matches access mediated by the dynamic loader (ld.so) attempting to load something on a process's behalf \u2014 a common technique for smuggling unapproved code past a naive path-based check.""}]"
40-bad-elf,40,Bad ELF files,Deny malformed/corrupt ELF files,deny_audit perm=any all : ftype=application/x-bad-elf,"Rejects any access to ELF files that fapolicyd's magic-based parser identifies as malformed, regardless of trust status — a corrupted or deliberately crafted invalid ELF header is refused outright.",,,"[{""token"":""ftype=application/x-bad-elf"",""explanation"":""Object attribute: fapolicyd's own classification for a file that starts with an ELF magic number but fails to parse as a valid ELF structure.""}]"
41-nfsd,41,NFS server exports,Allow the kernel nfsd thread to open exported content,allow perm=open ppid=2 comm=nfsd : all,"nfsd is a kernel thread, not an executable, so it cannot be added to the trust database. Kernel threads have PPID 2; pairing that with nfsd's comm value prevents a user-space process merely named nfsd from matching. Deliberately permits only open events — NFS export rules and file permissions remain responsible for authorizing the remote client. The upstream rule file carries an explicit warning: watching NFS client mounts (rather than the server-side export) can hang fapolicyd if the remote server becomes unreachable while a fanotify mark is being added, since fanotify_mark() has no nonblocking mode.",,,"[{""token"":""ppid=2"",""explanation"":""Subject attribute: parent process ID 2 identifies kernel threads (parented to kthreadd).""},{""token"":""comm=nfsd"",""explanation"":""Subject attribute: combined with ppid=2 so only the genuine kernel nfsd thread matches, not a same-named user-space process.""}]"
41-shared-obj,41,Shared object libraries,Trust check on ELF shared libraries,"allow perm=open all : ftype=application/x-sharedlib trust=1
deny_audit perm=open all : ftype=application/x-sharedlib","Evaluated ahead of the executable rules, since a typical executable links a dozen or more shared libraries and checking those first is cheaper than repeatedly falling through to later rules.",,,"[{""token"":""ftype=application/x-sharedlib"",""explanation"":""Object attribute: ELF shared library.""},{""token"":""trust=1"",""explanation"":""Object attribute (first line only): library must be present in the trust database \u2014 otherwise the second line's deny_audit catches it.""}]"
42-trusted-elf,42,Trusted execution (general),Allow execution of any trusted program,allow perm=execute all : trust=1,"The simplest possible trust gate — any subject may execute any object the trust database has verified, independent of file type.",,,"[{""token"":""trust=1"",""explanation"":""Object attribute: the only condition checked \u2014 presence in the trust database.""}]"
43-known-elf,43,Known ELF applications,"Allow/deny ELF executables by trust, plus the ld.so workaround","allow perm=execute all : ftype=application/x-executable trust=1
deny_audit perm=execute all : ftype=application/x-executable

allow perm=execute all : path=%ld_so_path% trust=1","The first pair allows trusted ELF executables and denies+audits untrusted ones. The third line is a workaround: the kernel reports an execve-time event for the dynamic loader itself, which this rule allows when trusted — actual ld.so-mediated trickery is caught separately by the 30-patterns.rules pattern=ld_so rule instead.",,,"[{""token"":""ftype=application/x-executable"",""explanation"":""Object attribute: ELF executable.""},{""token"":""path=%ld_so_path%"",""explanation"":""Object attribute matching a set of known dynamic-loader paths (e.g. /usr/lib64/ld-linux-x86-64.so.2) rather than a single literal path, since it varies by architecture.""}]"
