rule_id,category_no,category,title,auditd_rule,audit_key,description,cis_ref,disa_stig_ref,acsc_ism_alignment,form
01-01,1,Base / Audit Control Rules,Delete existing rules before managed load,-D,,Clears previously loaded rules so the managed ruleset starts from a known state. Use carefully when other tooling also owns audit rules.,,,CIS / STIG / deployment practice,table
01-02,1,Base / Audit Control Rules,Audit backlog buffer,-b 8192,,Increases audit queue capacity. Size should be performance-tested for the workload.,,,CIS / STIG / logging resilience,table
01-03,1,Base / Audit Control Rules,Failure mode,-f 1,,"Base/sample configurations may use different values. For the supplied DISA RHEL 9 STIG mapping, **RHEL-09-654265 requires `-f 2`**. Do not treat `-f 1` as STIG-equivalent.",,RHEL-09-654265 — use `-f 2` for critical audit failure handling.,CIS / STIG / operational assurance,table
01-04,1,Base / Audit Control Rules,Ignore optional rule errors,-i,,"Allows loading to continue when optional paths/rules are not valid. Useful for heterogeneous fleets, but may hide unintended coverage gaps if not monitored.",,,Deployment-dependent,table
01-05,1,Base / Audit Control Rules,Immutable finalisation,-e 2,,Makes the active audit configuration immutable until reboot. Must be the final rule and should only be enabled after testing.,,RHEL-09-654275 — use `-e 2` to make the audit configuration immutable.,CIS / STIG / high assurance,table
02-01,2,Audit Subsystem Protection,Audit configuration changes,-w /etc/audit/ -p wa -k audit_config,audit_config,Detect modification of audit rules and configuration.,,,Event logging integrity; security configuration,table
02-02,2,Audit Subsystem Protection,auditd configuration,-w /etc/audit/auditd.conf -p wa -k audit_config,audit_config,Detect changes to audit daemon configuration.,,,Event logging integrity,table
02-03,2,Audit Subsystem Protection,Audit rules directory,-w /etc/audit/rules.d/ -p wa -k audit_rules,audit_rules,"Detect rule additions, changes or deletion.",,,Audit control protection,table
02-04,2,Audit Subsystem Protection,Loaded audit rules,-w /etc/audit/audit.rules -p wa -k audit_rules,audit_rules,Monitor generated/legacy audit rule file.,,,Audit configuration integrity,table
02-05,2,Audit Subsystem Protection,Audit log directory,-w /var/log/audit/ -p wa -k audit_logs,audit_logs,Detect modification/deletion of audit logs. May be noisy depending on configuration.,,,Protection of event logs,table
02-06,2,Audit Subsystem Protection,auditctl execution,-w /sbin/auditctl -p x -k audit_tools,audit_tools,Detect manual manipulation of audit subsystem.,,,Administrative activity,table
02-07,2,Audit Subsystem Protection,ausearch execution,-w /sbin/ausearch -p x -k audit_tools,audit_tools,Detect use of audit investigation utility.,,,Audit administration,table
02-08,2,Audit Subsystem Protection,aureport execution,-w /sbin/aureport -p x -k audit_tools,audit_tools,Detect generation of audit reports.,,,Audit administration,table
02-09,2,Audit Subsystem Protection,augenrules execution,-w /sbin/augenrules -p x -k audit_tools,audit_tools,Detect loading/regeneration of audit rules.,,,Audit configuration,table
03-01,3,System Identity,Hostname changes,"-a always,exit -F arch=b64 -S sethostname,setdomainname -k system_identity",system_identity,Detect changes to system hostname/domain.,,"aligns with `30-stig.rules` system-locale/network auditing for hostname, issue files, hosts and NetworkManager changes.",System configuration changes,table
