event_id,log,source,category,subcategory,description,sample,reference,how_to_collect,sample_type,mitre_techniques,priority_signal,acsc_ism_control,cis_control,disa_stig_id,nist_800_53_au,field_schema
1100,audit/USER,sudo (pam_unix),Account Logon,Credential Validation,PAM authentication attempt for a sudo command,"Log Name:      audit/USER
Source:        sudo (pam_unix)
Event ID:      1100 (USER_AUTH)
Level:         Notice
Host:          web01.prod.example.org
Description:
A user's password was checked while starting a sudo session.
type=USER_AUTH msg=audit(1732200011.221:48812): pid=18432 uid=1000 auid=1000 ses=12
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
msg='op=PAM:authentication grantors=pam_unix acct=""jsmith"" exe=""/usr/bin/sudo""
hostname=? addr=? terminal=/dev/pts/3 res=success'",See PAM result codes reference table for the full set of `res=`/failure values.,Credential Validation,illustrative,T1078,,0582; 1546,,,"AU-2, AU-3, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""exe"":""path""},""subject"":{""uid"":""integer"",""auid"":""integer"",""ses"":""integer"",""subj"":""string""},""message"":{""op"":""string"",""grantors"":""string"",""acct"":""principal"",""hostname"":""string"",""addr"":""ip"",""terminal"":""path"",""res"":""enum""}}"
1100,audit/USER,su (pam_unix),Account Logon,Credential Validation,PAM authentication attempt for su failed — wrong password,"Log Name:      audit/USER
Source:        su (pam_unix)
Event ID:      1100 (USER_AUTH)
Level:         Warning
Host:          db01.prod.example.org
Description:
A user's password was checked while starting an su session, and the check failed.
type=USER_AUTH msg=audit(1732200098.554:48901): pid=20211 uid=1000 auid=1000 ses=14
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
msg='op=PAM:authentication grantors=? acct=""root"" exe=""/usr/bin/su""
hostname=? addr=? terminal=/dev/pts/1 res=failed'",,Credential Validation,illustrative,T1110,Yes,0582; 1546,,,"AU-2, AU-3, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""exe"":""path""},""subject"":{""uid"":""integer"",""auid"":""integer"",""ses"":""integer"",""subj"":""string""},""message"":{""op"":""string"",""acct"":""principal"",""terminal"":""path"",""res"":""enum""}}"
1101,audit/USER,sshd (pam_unix),Account Logon,Credential Validation,PAM account validation for an SSH session (expiry/lockout checks),"Log Name:      audit/USER
Source:        sshd (pam_unix)
Event ID:      1101 (USER_ACCT)
Level:         Information
Host:          bastion01.prod.example.org
Description:
The account was checked for validity (not expired, not locked) after authentication succeeded.
type=USER_ACCT msg=audit(1732201200.100:49020): pid=8891 uid=0 auid=1000 ses=88
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
msg='op=PAM:accounting grantors=pam_unix,pam_faillock acct=""mchen"" exe=""/usr/sbin/sshd""
hostname=203.0.113.44 addr=203.0.113.44 terminal=ssh res=success'",,Credential Validation,illustrative,,,0582; 1546,,,"AU-2, AU-3, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""exe"":""path""},""subject"":{""uid"":""integer"",""auid"":""integer"",""ses"":""integer"",""subj"":""string""},""message"":{""op"":""string"",""grantors"":""list<string>"",""acct"":""principal"",""hostname"":""string"",""addr"":""ip"",""terminal"":""string"",""res"":""enum""}}"
1101,audit/USER,login (pam_faillock),Account Logon,Credential Validation,Account temporarily locked after repeated failed logins (pam_faillock),"Log Name:      audit/USER
Source:        login (pam_faillock)
Event ID:      1101 (USER_ACCT)
Level:         Warning
Host:          bastion02.prod.example.org
Description:
Account validation failed: the account is locked out by pam_faillock after too many
consecutive failed login attempts.
type=USER_ACCT msg=audit(1732201355.410:49101): pid=9013 uid=0 auid=4294967295 ses=4294967295
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
msg='op=PAM:accounting grantors=? acct=""rjones"" exe=""/usr/bin/login""
hostname=? addr=198.51.100.23 terminal=/dev/tty1 res=failed'",faillock --user rjones shows the individual failed attempts that triggered the lock.,Credential Validation,illustrative,T1110,Yes,0582; 1546,,RHEL-09-654250,"AU-2, AU-3, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""exe"":""path""},""subject"":{""uid"":""integer"",""auid"":""integer"",""ses"":""integer""},""message"":{""op"":""string"",""acct"":""principal"",""addr"":""ip"",""terminal"":""path"",""res"":""enum""}}"
1109,audit/USER,sshd (pam_unix),Account Logon,Credential Validation,PAM error: repeated bad password on an SSH login attempt,"Log Name:      audit/USER
Source:        sshd (pam_unix)
Event ID:      1109 (USER_ERR)
Level:         Warning
Host:          bastion01.prod.example.org
Description:
A PAM module reported an error while processing an authentication request — here,
an incorrect password.
type=USER_ERR msg=audit(1732201410.005:49150): pid=8977 uid=0 auid=4294967295 ses=4294967295
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
msg='PAM: bad password attempt for user ""admin"" exe=""/usr/sbin/sshd""
hostname=192.0.2.15 addr=192.0.2.15 terminal=ssh res=failed'",See PAM result codes reference table.,Credential Validation,illustrative,T1110,Yes,0582; 1546,,,"AU-2, AU-3, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""exe"":""path""},""subject"":{""uid"":""integer"",""auid"":""integer"",""ses"":""integer""},""message"":{""acct"":""principal"",""hostname"":""string"",""addr"":""ip"",""terminal"":""string"",""res"":""enum""}}"
1103,audit/USER,login (pam_unix),Account Logon,Credential Lifecycle,PAM credentials acquired at the start of a login session,"Log Name:      audit/USER
Source:        login (pam_unix)
Event ID:      1103 (CRED_ACQ)
Level:         Information
Host:          web01.prod.example.org
Description:
The credentials associated with the user (group memberships, supplementary
capabilities) were established for the new session.
type=CRED_ACQ msg=audit(1732200500.010:48950): pid=15012 uid=0 auid=1000 ses=15
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
msg='op=PAM:setcred grantors=pam_unix acct=""jsmith"" exe=""/usr/bin/login""
hostname=? addr=? terminal=tty2 res=success'",,Credential Lifecycle,illustrative,,,,,,"AU-2, AU-3, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""exe"":""path""},""subject"":{""uid"":""integer"",""auid"":""integer"",""ses"":""integer""},""message"":{""op"":""string"",""grantors"":""string"",""acct"":""principal"",""terminal"":""string"",""res"":""enum""}}"
1104,audit/USER,login (pam_unix),Account Logon,Credential Lifecycle,PAM credentials disposed of at session logoff,"Log Name:      audit/USER
Source:        login (pam_unix)
Event ID:      1104 (CRED_DISP)
Level:         Information
Host:          web01.prod.example.org
Description:
The credentials established at session start were released as the session ended.
type=CRED_DISP msg=audit(1732204100.010:49900): pid=15012 uid=0 auid=1000 ses=15
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
msg='op=PAM:setcred grantors=pam_unix acct=""jsmith"" exe=""/usr/bin/login""
hostname=? addr=? terminal=tty2 res=success'",,Credential Lifecycle,illustrative,,,,,,"AU-2, AU-3, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""exe"":""path""},""subject"":{""uid"":""integer"",""auid"":""integer"",""ses"":""integer""},""message"":{""op"":""string"",""acct"":""principal"",""terminal"":""string"",""res"":""enum""}}"
1110,audit/USER,sudo (pam_unix),Account Logon,Credential Lifecycle,sudo's cached authentication timestamp was refreshed instead of re-prompting,"Log Name:      audit/USER
Source:        sudo (pam_unix)
Event ID:      1110 (CRED_REFR)
Level:         Information
Host:          web01.prod.example.org
Description:
A user ran a further sudo command inside the timestamp_timeout window, so PAM
refreshed the existing credential instead of asking for the password again.
type=CRED_REFR msg=audit(1732200070.900:48830): pid=18500 uid=1000 auid=1000 ses=12
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
msg='op=PAM:setcred grantors=pam_unix acct=""jsmith"" exe=""/usr/bin/sudo""
hostname=? addr=? terminal=/dev/pts/3 res=success'",,Credential Lifecycle,illustrative,,,,,,"AU-2, AU-3, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""exe"":""path""},""subject"":{""uid"":""integer"",""auid"":""integer"",""ses"":""integer""},""message"":{""op"":""string"",""acct"":""principal"",""terminal"":""path"",""res"":""enum""}}"
1105,audit/USER,login (pam_unix),Logon/Logoff,Logon,PAM session opened for an interactive console login,"Log Name:      audit/USER
Source:        login (pam_unix)
Event ID:      1105 (USER_START)
Level:         Information
Host:          web01.prod.example.org
Description:
A session was opened for a user (the Linux analogue of a Windows logon event).
type=USER_START msg=audit(1732200500.020:48951): pid=15012 uid=0 auid=1000 ses=15
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
msg='op=PAM:session_open grantors=pam_unix,pam_limits,pam_systemd acct=""jsmith""
exe=""/usr/bin/login"" hostname=? addr=? terminal=tty2 res=success'",,Logon,illustrative,T1078,,0582,6.3.3.11; 6.3.3.12,RHEL-09-654250; RHEL-09-654255,"AU-2, AU-3, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""exe"":""path""},""subject"":{""uid"":""integer"",""auid"":""integer"",""ses"":""integer""},""message"":{""op"":""string"",""grantors"":""list<string>"",""acct"":""principal"",""terminal"":""string"",""res"":""enum""}}"
1105,audit/USER,sshd (pam_unix),Logon/Logoff,Logon,PAM session opened for an SSH login,"Log Name:      audit/USER
Source:        sshd (pam_unix)
Event ID:      1105 (USER_START)
Level:         Information
Host:          bastion01.prod.example.org
Description:
A session was opened for a user connecting over SSH.
type=USER_START msg=audit(1732201200.150:49021): pid=8891 uid=0 auid=1000 ses=88
subj=unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023
msg='op=PAM:session_open grantors=pam_unix,pam_limits,pam_systemd acct=""mchen""
exe=""/usr/sbin/sshd"" hostname=203.0.113.44 addr=203.0.113.44 terminal=ssh res=success'",,Logon,illustrative,T1021.004,Yes,0582,6.3.3.11; 6.3.3.12,RHEL-09-654250; RHEL-09-654255,"AU-2, AU-3, AU-12","{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""host"":""string"",""description"":""string""},""process"":{""pid"":""integer"",""exe"":""path""},""subject"":{""uid"":""integer"",""auid"":""integer"",""ses"":""integer""},""message"":{""op"":""string"",""grantors"":""list<string>"",""acct"":""principal"",""hostname"":""string"",""addr"":""ip"",""terminal"":""string"",""res"":""enum""}}"
